,name,start,end,college,lon,lat,loc,info,loc_type,desc
748,刘雷,1994,1998,国防大学,103.82,36.07,甘肃省兰州市兰州市,兰州军区,3,"1994.12—1998,任兰州军区政治部干部部副部长(期间入国防大学联合战役指挥专业学习三)；"
749,刘雷,1998,1999,,116.4,39.9,北京市北京市北京市,晋升为,1,"1998—1999,晋升为大校军衔；"
750,刘雷,1999,2003,,87.62,43.82,新疆维吾尔乌鲁木齐市乌鲁木齐市,新疆军区,1,"1999—2003.6,任新疆军区步兵11师政委；"
751,刘雷,2003,2004,,116.4,39.9,北京市北京市北京市,南疆,0,"2003.6—2004.7,任南疆军区政治部主任；"
752,刘雷,2004,2007,,116.4,39.9,北京市北京市北京市,晋升为,1,"2004.7—2007.1,晋升为少将军衔；"
753,刘雷,2007,2013,,116.4,39.9,北京市北京市北京市,任,1,"2007.1—2013.7,任第21集团军政委；"
754,刘雷,2013,2013,,87.62,43.82,新疆维吾尔乌鲁木齐市乌鲁木齐市,新疆军区,1,"2013.7—2013.11,任新疆军区政委 ；"
755,刘雷,2013,2014,,87.62,43.82,新疆维吾尔乌鲁木齐市乌鲁木齐市,新疆军区,1,"2013.11—2014.7,任新疆维吾尔自治区党委常委,新疆军区政委[3]  ；"
756,刘雷,2014,2014,,116.4,39.9,北京市北京市北京市,晋升为,1,"2014.7—2014.12,晋升为中将军衔；"
757,刘雷,2014,2015,,103.82,36.07,甘肃省兰州市兰州市,兰州军区,3,"2014.12—2015.12,任兰州军区政委"
758,刘雷,2015,2017,,116.4,39.9,北京市北京市北京市,中国人民解放军,0,"2015.12—2017.7,任中国人民解放军陆军政治委员；"
759,刘雷,2017,2018,,116.4,39.9,北京市北京市北京市,晋升,1,"2017.7—,晋升上将军衔。"
760,刘鹤,1969,1970,,122.78,45.33,吉林省白城市洮南市,洮南县,3,"1969—1970,　吉林省洮南县瓦房公社插队知青"
761,刘鹤,1970,1973,,111.98,43.65,内蒙古自治区锡林郭勒盟二连浩特市,二连,3,"1970—1973,　解放军三十八军一一二师高炮团五七营二连战士、副班长"
762,刘鹤,1973,1979,,116.4,39.9,北京市北京市北京市,北京,3,"1973—1979,　北京无线电厂工人,团委干事、书记"
763,刘鹤,1979,1983,中国人民大学,116.4,39.9,北京市北京市北京市,中国人民大学,1,"1979—1983,　中国人民大学二分校工业经济系工业经济管理专业学习"
764,刘鹤,1983,1983,中国人民大学,116.4,39.9,北京市北京市北京市,中国人民大学,1,"1983—1983,　中国人民大学工业经济系教师"
765,刘鹤,1983,1986,中国人民大学,116.4,39.9,北京市北京市北京市,中国人民大学,1,"1983—1986,　中国人民大学工业经济系工业经济专业硕士研究生"
766,刘鹤,1986,1987,,116.4,39.9,北京市北京市北京市,国务院发展研究中心,0,"1986—1987,　国务院发展研究中心干部"
767,刘鹤,1987,1988,,116.4,39.9,北京市北京市北京市,国家计委,0,"1987—1988,　国家计委工业综合局干部"
768,刘鹤,1988,1991,,116.4,39.9,北京市北京市北京市,国家计委,0,"1988—1991,　国家计委产业政策司产业结构处副处长、处长"
769,刘鹤,1991,1993,,116.4,39.9,北京市北京市北京市,国家计委,0,"1991—1993,　国家计委长期规划和产业政策司产业结构处处长（其间：1992.01—1993.01美国西东大学工商学院访问学者）"
770,刘鹤,1993,1994,,116.4,39.9,北京市北京市北京市,国家计委,0,"1993—1994,　国家计委政策研究室副主任"
771,刘鹤,1994,1998,,116.4,39.9,北京市北京市北京市,国家计委,0,"1994—1998,　国家计委长期规划和产业政策司副司长（其间：1994.07—1995.06哈佛大学肯尼迪政府管理学院国际金融和贸易专业学习,获公共管理硕士学位）"
772,刘鹤,1998,2001,,116.4,39.9,北京市北京市北京市,国家信息中心,0,"1998—2001,　国家信息中心常务副主任（正局级）,中经网公司董事长"
773,刘鹤,2001,2003,,116.4,39.9,北京市北京市北京市,国务院,0,"2001—2003,　国务院信息化工作办公室副主任、党组成员,国家信息化专家咨询委员会主任"
774,刘鹤,2003,2011,,116.4,39.9,北京市北京市北京市,中央财经,1,"2003—2011,　中央财经领导小组办公室副主任"
775,刘鹤,2011,2013,,116.4,39.9,北京市北京市北京市,国务院发展研究中心,0,"2011—2013,　国务院发展研究中心党组书记、副主任,中央财经领导小组办公室副主任"
776,刘鹤,2013,2014,,116.4,39.9,北京市北京市北京市,中央财经,1,"2013—2014,　中央财经领导小组办公室主任,国家发展和改革委员会副主任、党组成员"
